Name,Campus,Image,Gender,Color,Hair,Neutered,State,Description,Birthday,AdoptionDay,Position,Longitude,Latitude,OrderWeight
神仙,本部,https://imgbed.codingkelvin.fun/uPic/shenxian0230403215420.jpg,母,彩狸,短毛,已绝育,在校,被她选中的人都会发现她的好。爱唠叨，爱打滚，爱蹭蹭，有时候很娇，有时候又比较辣妈，尤其是对她的儿女们。,,,生命楼、艺设楼，月亮湖一带,116.485661,39.874144,
小胖,本部,https://imgbed.codingkelvin.fun/uPic/xiaopang0230403222810.jpg,公,橘白,长毛,已绝育,在校,胆小不过心眼非常单纯，从出生之后就只会上一个喂食点吃饭，只会找一个妈黏，永远年轻永远是妈宝，永久丧失择偶权，不过在人类眼里非常可爱。,,,生命楼，艺设楼，月亮湖一代，和妈妈神仙一起,116.485661,39.874144,
鬼哥,本部,https://imgbed.codingkelvin.fun/uPic/guige234728347.jpg,公,白,短毛,已绝育,休学,2022 年 4 月放归，至今没见过。很好奇他对神仙的深厚情谊还在不在。,,,,,,
Phanton,本部,https://imgbed.codingkelvin.fun/uPic/phanton2348723847.jpg,母,三花,短毛,已绝育,毕业,流浪的时候三从四德我见犹怜温柔水乡医生都夸真乖，进家之后横行霸叨还挑食，无法理解。,,,已领养，流浪时在城建楼和软件楼东侧的“情人坡”活动,116.487717,39.874849,
二条,本部,https://imgbed.codingkelvin.fun/uPic/ertiao202304052345423.jpg,母,奶牛,短毛,已绝育,在校,胆小，但嘴馋到会三进宫，绝育后潇洒美丽不为人所目击，重金求条近照（也没有金）。,,,,,,
小猪（十号楼）,本部,https://imgbed.codingkelvin.fun/uPic/xiaozhu30405234438.jpg,公,特殊色,短毛,已绝育,毕业,2022年9月出现在10号楼，因疾病被校友救助，11月已送养进家。,,2022/11/1,已领养，在10号楼下发现,116.482295,39.878098,
可可,本部,https://imgbed.codingkelvin.fun/uPic/kekeb4421f18fdc.JPG,公,特殊色,短毛,已绝育,毕业,"2021-11-25 绝育
2021年12月进家",,2021/12/1,已领养，之前好像在二教附近,116.478134,39.877341,
MiuMiu,本部,https://imgbed.codingkelvin.fun/uPic/miumiu23472342.jpg,公,橘白,长毛,已绝育,毕业,每晚固定打卡三号楼，和蔼可亲，已进家。,,2023/6/1,3.4号楼和校医院南门附近,116.481682,39.878989,
 朵朵,本部,https://imgbed.codingkelvin.fun/uPic/duoduo33948.jpg,母,玳瑁,长毛,未绝育,毕业,赵氏公主，社团救助并送养。,2023/4/1,2023/6/1,已领养，在10号楼下草丛发现,116.482295,39.878098,
Anne,本部,https://imgbed.codingkelvin.fun/uPic/IMG_0993.jpg,母,橘,短毛,已绝育,在校,凶凶的英雄母亲，会在笼子里起飞。,,,实训楼东侧,116.486641,39.872661,
芝兰,本部,https://imgbed.codingkelvin.fun/uPic/zhilan1eee7b97ce8f.jpg,母,橘白,短毛,未知,喵星,在四教地下车库发现的病猫，紧急送医治疗的第二天突然离世。,,,发现于四教停车场入口处,116.484335,39.875619,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
